::::::::: 1 :::::::::											
Position (X)	 Position (Y)	 Position (Z)	 Rotation (X)	 Rotation (Y)	 Rotation (Z)	 Ang Veloc (X)	 Ang Veloc (Y)	 Ang Veloc (Z)	 Velocity (X)	 Velocity (Y)	 Velocity (Z)
-0.2722391	0.01539505	-0.03171861	296.8784	288.1028	343.399	0.2898141	0.1129803	-0.1235459	0.02766057	0.07009777	-0.01416756
-0.2704335	0.0181179	-0.03214538	295.2236	289.0569	342.4185	0.1443172	0.112662	-0.820685	0.06526826	0.1217978	-0.02292268
-0.2688383	0.02105391	-0.03262818	293.2027	289.8327	341.5894	-0.03827078	0.08341127	-1.477345	0.08968683	0.162281	-0.02966789
-0.2663269	0.02735996	-0.03369105	289.6881	292.7467	338.4398	-0.117891	0.04460894	-2.634877	0.1262366	0.2717349	-0.04837573
-0.2636092	0.03617179	-0.03639567	287.1228	298.1977	330.9895	0.3670859	-0.6298994	-3.316106	0.156354	0.4247425	-0.1081211
-0.2602463	0.04327333	-0.03925169	285.3022	296.9396	331.6967	-0.1306111	-0.7527747	-3.1469	0.1996761	0.4882668	-0.1462633
-0.2571067	0.04943442	-0.03927171	281.6245	294.5529	334.4322	-0.9124489	-0.5095933	-3.543215	0.227193	0.4999056	-0.1087099
-0.2543409	0.05418193	-0.0386771	280.8377	307.0548	321.4469	-0.05604852	-0.4054864	-3.412101	0.228631	0.4831069	-0.06723981
-0.2521165	0.0576123	-0.03747559	280.005	309.6996	319.0805	-0.0885369	-0.157764	-2.900417	0.2204232	0.4380011	-0.02761596
-0.2497896	0.0608902	-0.03623283	278.9146	312.0757	317.3612	-0.2725371	0.1597787	-2.540312	0.2141972	0.3986419	0.0111191
-0.24795	0.06531394	-0.03601098	278.3138	318.475	311.4076	-0.1090002	0.3489502	-2.278459	0.2025287	0.3747995	0.0322416
-0.2451667	0.06908381	-0.03497684	277.6698	324.7277	305.4828	-0.07803839	0.4356258	-2.072824	0.2043285	0.3575642	0.04756447
-0.2430222	0.07151306	-0.03377616	277.2816	328.7398	301.9529	-0.09633352	0.5230529	-1.776724	0.1974672	0.320304	0.06279869
-0.2415956	0.0744797	-0.03342748	276.8684	332.5349	298.6523	-0.1123196	0.604202	-1.522676	0.1807997	0.2877119	0.06994119
-0.2393361	0.07732677	-0.03177226	276.8023	337.0131	294.5222	-0.03353072	0.606989	-1.302941	0.1805655	0.2697008	0.08306034
-0.2371213	0.07850313	-0.03060806	276.5131	340.7641	291.2876	-0.0824034	0.6529336	-1.149526	0.1787439	0.2281923	0.08850844
-0.2353664	0.07959247	-0.02980018	276.4596	341.8374	290.7377	-0.06061867	0.6987287	-0.8698028	0.1746811	0.1873026	0.08964643
-0.2327529	0.08052671	-0.02891922	276.6445	342.6385	290.1742	0.02399555	0.621052	-0.63696	0.1872772	0.1544111	0.08223076
-0.2299263	0.08073545	-0.02867627	276.4764	344.8943	288.1866	-0.01813962	0.55927	-0.5685361	0.1987693	0.117532	0.06481845
-0.2275347	0.08047867	-0.02855027	276.462	345.3608	287.7816	-0.01636936	0.4368133	-0.4263354	0.2019996	0.08256411	0.04618168
-0.2254924	0.08066511	-0.02825463	276.3373	346.5364	286.6932	-0.04726767	0.355737	-0.3684442	0.1961308	0.06056274	0.03516619
-0.2244195	0.07949758	-0.02867734	276.2151	345.4289	287.7188	-0.09714173	0.2161767	-0.2442439	0.1668805	0.01647142	0.01550376
-0.2247484	0.0773356	-0.02879083	276.4431	341.4097	291.499	-0.03080606	0.05234034	0.01468637	0.1125833	-0.0324969	0.002914115
-0.2263584	0.07566392	-0.02930915	276.7748	338.4099	294.107	0.0591612	-0.1344613	0.1788588	0.03987373	-0.0664383	-0.01189662
-0.227603	0.07398522	-0.02979803	276.8825	336.3322	295.9339	0.0541573	-0.2198089	0.2383415	-0.01246878	-0.08741362	-0.02090926
-0.2316676	0.07034516	-0.03029466	277.2865	331.0287	300.7762	0.08499306	-0.3627336	0.4692477	-0.1060365	-0.1343883	-0.02848915
-0.2354594	0.06509173	-0.03055143	278.3043	321.5236	309.7321	0.1302836	-0.5254921	0.9856371	-0.1700282	-0.2283044	-0.02919201
-0.2386121	0.05693173	-0.03087401	279.6867	313.2067	317.5371	0.1777023	-0.6439933	1.489224	-0.2176002	-0.3622123	-0.02953361
-0.2431919	0.04856277	-0.0301348	281.7126	305.1625	325.3442	0.2130495	-0.6242896	2.130752	-0.2721404	-0.4605577	-0.007308844
